"Field code","Section","Question","Type","Required","Sensitivity","External AI","Default application use","Purpose / notes","Help text","Options","Validation","Duplicate code in source"
"SYS-01","00 — Welcome & informed choice","Primary email address","Short answer","Yes","PRIVATE","NO","Operations only","Candidate identity and account communication","Used to identify your profile and send your update link.","","email","NO"
"SYS-02","00 — Welcome & informed choice","Legal first / given name(s)","Short answer","Yes","PRIVATE","LIMITED","Only when an application requires legal name","Candidate identity","","","","NO"
"SYS-03","00 — Welcome & informed choice","Legal surname / family name","Short answer","Yes","PRIVATE","LIMITED","Only when an application requires legal name","Candidate identity","","","","NO"
"CONS-01","00 — Welcome & informed choice","ATG Apply service consent","Checkboxes","Yes","PRIVATE","NO","Never shared","Lawful and transparent service operation","Read the privacy notice before agreeing.","I authorize ATG Apply staff to use the information I provide to prepare career materials and applications under my instructions.","","NO"
"CONS-02","00 — Welcome & informed choice","Accuracy and non-invention rule","Checkboxes","Yes","PRIVATE","NO","Never shared","Candidate protection and factual accuracy","","I understand ATG Apply must not invent qualifications, experience, achievements, dates, eligibility, or other facts on my behalf.","","NO"
"ID-01","01 — Identity, contact & professional presence","Preferred name","Short answer","No","PRIVATE","LIMITED","Applications and communication","Preferred identity","Name ATG Apply and employers should use in ordinary communication.","","","NO"
"ID-02","01 — Identity, contact & professional presence","Professional headline or current title","Short answer","No","CAREER","YES","CV/profile","Professional identity","Example: Data Analyst | Climate Policy Researcher","","","NO"
"ID-03","01 — Identity, contact & professional presence","Pronouns","Multiple choice","No","SENSITIVE","NO","Do not include by default","Respectful communication","Only used if you want them used.","She/her | He/him | They/them | Use my name | Prefer not to say","","NO"
"ID-04","01 — Identity, contact & professional presence","Primary phone number with country code","Short answer","No","PRIVATE","NO","Application contact field","Candidate contact","","","","NO"
"ID-05","01 — Identity, contact & professional presence","WhatsApp / alternative phone","Short answer","No","PRIVATE","NO","Only when instructed","Candidate contact","","","","NO"
"ID-06","01 — Identity, contact & professional presence","Alternative email","Short answer","No","PRIVATE","NO","Only when instructed","Backup contact","","","","NO"
"ID-07","01 — Identity, contact & professional presence","Current city / region","Short answer","No","PRIVATE","LIMITED","Application location","Location eligibility","","","","NO"
"ID-08","01 — Identity, contact & professional presence","Current country","Short answer","No","PRIVATE","LIMITED","Application location","Location eligibility","","","","NO"
"ID-09","01 — Identity, contact & professional presence","Postal code (only if commonly requested in your target market)","Short answer","No","PRIVATE","NO","Application form only","Location screening","","","","NO"
"ID-10","01 — Identity, contact & professional presence","LinkedIn profile URL","Short answer","No","CAREER","YES","Application/profile","Professional presence","","","url","NO"
"ID-11","01 — Identity, contact & professional presence","Portfolio or personal website URL","Short answer","No","CAREER","YES","Application/profile","Work evidence","","","url","NO"
"ID-12","01 — Identity, contact & professional presence","GitHub / GitLab / technical portfolio URL","Short answer","No","CAREER","YES","Relevant applications","Technical evidence","","","url","NO"
"ID-13","01 — Identity, contact & professional presence","Other professional links","Paragraph","No","CAREER","YES","Relevant applications","Additional professional evidence","One per line: platform — URL — what it demonstrates.","","","NO"
"ID-14","01 — Identity, contact & professional presence","Professional photograph policy","Multiple choice","No","SENSITIVE","NO","Never by default","Candidate-controlled image use","A photograph is not needed for most applications.","Never use my photo | Ask me for every application | Use only where customary and lawful | No preference yet","","NO"
"ID-15","01 — Identity, contact & professional presence","Preferred ATG Apply contact channel","Multiple choice","No","PRIVATE","NO","Operations only","Service communication","","Email | WhatsApp | Phone call | SMS","","NO"
"ELIG-01","02 — Work authorization, mobility & availability","Citizenship(s) / nationality or nationalities","Paragraph","No","PRIVATE","NO","Application screening only","Legal eligibility","List each country. This is used for eligibility and sponsorship questions, not CV screening.","","","NO"
